L_e,T,D,f_l
9,20,0,0.0204732
9,20,1,0.0255915
9,20,2,0.0204732
9,20,3,0.0204732
9,21,0,0.0204732
9,21,1,0.0255915
9,21,2,0.0204732
9,21,3,0.0204732
9,22,0,0.0153549
9,22,1,0.0153549
9,22,2,0.0153549
9,22,3,0.0153549
9,23,0,0.0153549
9,23,1,0.0153549
9,23,2,0.0153549
9,23,3,0.0153549
10,0,0,0.012838400000037394
10,0,1,0.012838400000037394
10,0,2,0.012838400000037394
10,0,3,0.012838400000037394
10,1,0,0.012838400000037394
10,1,1,0.012838400000037394
10,1,2,0.012838400000037394
10,1,3,0.012838400000037394
10,2,0,0.012838400000037394
10,2,1,0.012838400000037394
10,2,2,0.012838400000037394
10,2,3,0.012838400000037394
10,3,0,0.012838400000037394
10,3,1,0.012838400000037394
10,3,2,0.012838400000037394
10,3,3,0.012838400000037394
10,4,0,0.012838400000037394
10,4,1,0.012838400000037394
10,4,2,0.012838400000037394
10,4,3,0.012838400000037394
10,5,0,0.040280480000172016
